tweet_url,tweet_id,user_handle,profile_url,content,hashtags,post_time,scrape_time,likes,comments,reposts,views
https://x.com/NagarArjun01/status/1959932769103946033,1959932769103946033,NagarArjun01,https://x.com/NagarArjun01,"Embedded propaganda accounts spreading “peace” narratives: your narrative cannot overwrite history. The truth is indelible.
#Rohingya #GauMata #ssc_protest #DelhiMetro #bigboss19 #PPPSindhMeetup #Bangladesh #Dhaka 
@sowmiyasid
 @EktaPandey1919",#Rohingya;#GauMata;#ssc_protest;#DelhiMetro;#bigboss19;#PPPSindhMeetup;#Bangladesh;#Dhaka,2025-08-25T10:56:00.000Z,2025-08-25T11:28:24+0000,3.0,0.0,1.0,
https://x.com/anjalirana007/status/1959932249534550189,1959932249534550189,anjalirana007,https://x.com/anjalirana007,"Embedded propaganda accounts spreading “peace” narratives: your narrative cannot overwrite history. The truth is indelible.#Rohingya #GauMata #ssc_protest #DelhiMetro #bigboss19 #PPPSindhMeetup #Bangladesh #Dhaka 
@sowmiyasid
 @EktaPandey1919",#GauMata;#ssc_protest;#DelhiMetro;#bigboss19;#PPPSindhMeetup;#Bangladesh;#Dhaka,2025-08-25T10:53:56.000Z,2025-08-25T11:28:24+0000,3.0,0.0,2.0,
https://x.com/SakshiArora001/status/1959932105497944408,1959932105497944408,SakshiArora001,https://x.com/SakshiArora001,"Embedded propaganda accounts spreading “peace” narratives: your narrative cannot overwrite history. The truth is indelible.#Rohingya #GauMata #ssc_protest #DelhiMetro #bigboss19 #PPPSindhMeetup #Bangladesh #Dhaka 
@sowmiyasid
 @EktaPandey1919",#GauMata;#ssc_protest;#DelhiMetro;#bigboss19;#PPPSindhMeetup;#Bangladesh;#Dhaka,2025-08-25T10:53:22.000Z,2025-08-25T11:28:24+0000,2.0,0.0,2.0,
https://x.com/Samj810456/status/1959920509170372663,1959920509170372663,Samj810456,https://x.com/Samj810456,"قادیانیت کی زبوں حالی 
#PPPSindhMeetup
#MondayMotivation 
#Monday 
#SearchTheTruth",#PPPSindhMeetup;#MondayMotivation;#Monday;#SearchTheTruth,2025-08-25T10:07:17.000Z,2025-08-25T11:28:26+0000,0.0,0.0,0.0,
https://x.com/TamoorAliChana/status/1959919810717900856,1959919810717900856,TamoorAliChana,https://x.com/TamoorAliChana,"پیپلز ہاؤسنگ اسکیم کے تحت گھر اور سولر سسٹم بالکل مفت! بلاول بھٹو زرداری نے عوام کو مالکانہ حقوق دے کر خوشیوں کا نیا دور شروع کیا۔
#PPPSindhMeetup
@BBhuttoZardari
 @BakhtawarBZ
 @AseefaBZ
 @MaleehaManzoor",#PPPSindhMeetup,2025-08-25T10:04:31.000Z,2025-08-25T11:28:26+0000,4.0,1.0,3.0,
https://x.com/TamoorAliChana/status/1959918810401570847,1959918810401570847,TamoorAliChana,https://x.com/TamoorAliChana,"لاڑکانہ میں بلاول بھٹو زرداری کی جانب سے عوام کو فری گھر اور سولر سسٹم کا تحفہ، پیپلز ہاؤسنگ اسکیم نے خوابوں کو حقیقت بنا دیا۔
#PPPSindhMeetup
@BBhuttoZardari
 @BakhtawarBZ
 @AseefaBZ
 @GorayaAftab",#PPPSindhMeetup,2025-08-25T10:00:32.000Z,2025-08-25T11:28:27+0000,3.0,0.0,3.0,
https://x.com/TamoorAliChana/status/1959918016595906971,1959918016595906971,TamoorAliChana,https://x.com/TamoorAliChana,"گھر بھی، سولر بھی اور ساتھ مالکانہ حقوق بھی… سب کچھ عوام کے نام! بلاول بھٹو زرداری کی جانب سے بڑی خوشخبری۔
#PPPSindhMeetup 
@BBhuttoZardari
 @BakhtawarBZ
 @AseefaBZ
 @SukhdevHemnani_",#PPPSindhMeetup,2025-08-25T09:57:23.000Z,2025-08-25T11:28:27+0000,3.0,1.0,3.0,
https://x.com/SmithOliver90/status/1959917676530180479,1959917676530180479,SmithOliver90,https://x.com/SmithOliver90,"Embedded propaganda accounts spreading “peace” narratives: your narrative cannot overwrite history. The truth is indelible.
#Rohingya #GauMata #ssc_protest #DelhiMetro #bigboss19 #PPPSindhMeetup #Bangladesh #Dhaka
@sowmiyasid
 @EktaPandey1919",#Rohingya;#GauMata;#ssc_protest;#DelhiMetro;#bigboss19;#PPPSindhMeetup;#Bangladesh;#Dhaka,2025-08-25T09:56:02.000Z,2025-08-25T11:28:27+0000,6.0,0.0,2.0,
https://x.com/TamoorAliChana/status/1959917184051712172,1959917184051712172,TamoorAliChana,https://x.com/TamoorAliChana,"پیپلز ہاؤسنگ اسکیم کے تحت گھر اور سولر سسٹم بالکل مفت! بلاول بھٹو زرداری نے عوام کو مالکانہ حقوق دے کر خوشیوں کا نیا دور شروع کیا۔
#PPPSindhMeetup
#ApniZameenApnaMakaan
@BBhuttoZardari
 @BakhtawarBZ
 @AseefaBZ
 @MaleehaManzoor",#PPPSindhMeetup;#ApniZameenApnaMakaan,2025-08-25T09:54:04.000Z,2025-08-25T11:28:27+0000,9.0,1.0,6.0,
https://x.com/SmithOliver90/status/1959916096649039950,1959916096649039950,SmithOliver90,https://x.com/SmithOliver90,"The CTD’s claim of busting a RAW-backed network in Karachi is nothing new — every few months, Pakistan invents “Indian agents” to distract from its own failures.
#Rohingya #GauMata #ssc_protest #DelhiMetro #bigboss19 #PPPSindhMeetup #Bangladesh #Dhaka
@sowmiyasid
 @EktaPandey1919",#Rohingya;#GauMata;#ssc_protest;#DelhiMetro;#bigboss19;#PPPSindhMeetup;#Bangladesh;#Dhaka,2025-08-25T09:49:45.000Z,2025-08-25T11:28:27+0000,2.0,0.0,1.0,
https://x.com/SmithOliver90/status/1959915366332993702,1959915366332993702,SmithOliver90,https://x.com/SmithOliver90,"Kashmir is Indian. Your economy is borrowed. Facts hurt, don’t they?
#Rohingya #GauMata #ssc_protest #DelhiMetro #bigboss19 #PPPSindhMeetup #Bangladesh #Dhaka
@sowmiyasid
 @EktaPandey1919
 @IndiaUnleashed_",#Rohingya;#GauMata;#ssc_protest;#DelhiMetro;#bigboss19;#PPPSindhMeetup;#Bangladesh;#Dhaka,2025-08-25T09:46:51.000Z,2025-08-25T11:28:28+0000,6.0,0.0,3.0,
https://x.com/usamabilal032/status/1959913393483079701,1959913393483079701,usamabilal032,https://x.com/usamabilal032,"نبی محمد صلی اللہ علیہ وسلم کے بعد کسی پر وحی کا یقین رکھنے والا ختم نبوت کا منکر
#PPPSindhMeetup
#MondayMotivation 
#Monday 
#SearchTheTruth",#PPPSindhMeetup;#MondayMotivation;#Monday;#SearchTheTruth,2025-08-25T09:39:01.000Z,2025-08-25T11:28:29+0000,0.0,0.0,0.0,
https://x.com/usamabilal032/status/1959913358762680749,1959913358762680749,usamabilal032,https://x.com/usamabilal032,"مرزا کے نام نہاد صحابی کی اخلاقی حالت
#PPPSindhMeetup
#MondayMotivation 
#Monday 
#SearchTheTruth",#PPPSindhMeetup;#MondayMotivation;#Monday;#SearchTheTruth,2025-08-25T09:38:52.000Z,2025-08-25T11:28:29+0000,0.0,0.0,0.0,
https://x.com/usamabilal032/status/1959913308993073165,1959913308993073165,usamabilal032,https://x.com/usamabilal032,"نبی کریم صلی اللہ علیہ والہ وسلم تمام انبیاء کے سردار
#PPPSindhMeetup
#MondayMotivation 
#Monday 
#SearchTheTruth",#PPPSindhMeetup;#MondayMotivation;#Monday;#SearchTheTruth,2025-08-25T09:38:40.000Z,2025-08-25T11:28:30+0000,0.0,0.0,0.0,
https://x.com/usamabilal032/status/1959913264130744730,1959913264130744730,usamabilal032,https://x.com/usamabilal032,"حضرت عیسی علیہ السلام امتی نبی اور صحابی رسول صلی اللہ علیہ والہ وسلم
#PPPSindhMeetup
#MondayMotivation 
#Monday 
#SearchTheTruth",#PPPSindhMeetup;#MondayMotivation;#Monday;#SearchTheTruth,2025-08-25T09:38:30.000Z,2025-08-25T11:28:30+0000,0.0,0.0,0.0,
